"","id","recclass","mass","fell_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"4898",16754,"H4/5",7100,"Found",1925,-44.81667,171.13333,"H","Chondrite","Stony","Ordinary","H","0",1
"876.1",5261,"Iron, IVB",136000,"Found",1793,-33.5,26,"Iron IVB","Achondrite","Iron","Magmatic","Siderite","0",1
"6846",24230,"Iron, IIE-an",94200,"Found",1924,-32.26667,139.86667,"Iron IIE","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"6368.1",23656,"H5",66,"Found",1975,-31.1,138.26667,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"1074",5477,"L5",4255,"Fell",1902,54.61667,-6.21667,"L","Chondrite","Stony","Ordinary","L","0",1
"4352",12245,"H5",1630,"Fell",1908,-7,115.5,"H","Chondrite","Stony","Ordinary","H","0",1
"5410.6",18118,"Iron",12,"Fell",1922,38.13333,14.96667,"Iron","Achondrite","Iron",NA,NA,"0",1
"4689.1",14749,"Iron, IIIAB",20500,"Found",1885,17.9,-77.63333,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","0",1
"4449",12348,"Unknown",367,"Found",1937,-26,122,"Unknown",NA,NA,NA,NA,"2",0.064345060252235
"4130",11984,"H5",350000,"Found",1927,37.2,-101.35,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"3395",10119,"H5",152000,"Fell",1890,43.25,-93.66667,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"5605",22558,"L5",128.7,"Found",1974,-30.06667,128.96667,"L","Chondrite","Stony","Ordinary","L","14",0.0286088486882495
"4842",16690,"L6",34,"Found",1981,33.63333,-103.33333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"9610",56446,"H4",72.3,"Found",1979,19.56778,55.57056,"H","Chondrite","Stony","Ordinary","H","14",0.0286088486882495
"5557",22375,"L3",11400,"Found",1971,51.8,79.9,"L","Chondrite","Stony","Ordinary","L","13",0.0166285644122995
